,gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,TotalCharges,Churn,Geography,CreditScore,Surname,EstimatedSalary,MonthlyCharges,customerID,Dependents,PaymentMethod,Charge
2076,Male,0.0,Yes,1.0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,55.7,No,France,678.0,De Luca,111032.79,55.7,2043-WVTQJ,No,Mailed check,55.7
2077,Male,0.0,No,22.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,1127.35,Yes,Germany,712.0,Beyer,120158.72,54.45,2433-KMEAS,No,Electronic check,54.45
2078,Female,0.0,Yes,48.0,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,2145,Yes,France,525.0,Burns,160249.1,45.3,0447-BEMNG,No,Bank transfer (automatic),45.3
2079,,0.0,Yes,14.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,1348.9,Yes,France,711.0,Findlay,67508.01,105.95,1113-IUJYX,No,Mailed check,105.95
2080,Male,0.0,Yes,45.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,4882.8,No,France,698.0,Ridley,39755.0,107.75,1833-TCXKK,No,Bank transfer (automatic),107.75
2081,Female,0.0,No,63.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,6780.1,No,France,670.0,Liao,88187.81,108.25,1110-KYLGQ,No,Credit card (automatic),108.25
2082,Male,1.0,Yes,38.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,955.75,No,France,430.0,Barrett,69759.91,24.85,4282-ACRXS,No,Electronic check,24.85
2083,Male,0.0,Yes,60.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,6572.85,No,Spain,496.0,Lo,55389.59,109.45,2522-AHJXR,No,Bank transfer (automatic),109.45
2084,Female,1.0,No,47.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,3969.35,Yes,France,658.0,White,155665.76,85.2,7248-VZQLC,No,Bank transfer (automatic),85.2
2085,Male,0.0,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,80.55,Yes,Spain,673.0,Repina,110468.51,80.55,0318-QUUOB,No,Electronic check,80.55
2086,,0.0,Yes,41.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,3930.55,No,Germany,608.0,Hsueh,132424.69,101.6,0580-PIQHM,Yes,Bank transfer (automatic),101.6
2087,Female,0.0,No,8.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,624.6,No,France,592.0,Fuller,28737.71,80.0,6496-JDSSB,No,Bank transfer (automatic),80.0
2088,Male,0.0,No,15.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,1553.95,Yes,France,552.0,Hancock,190296.76,101.35,0125-LZQXK,No,Electronic check,101.35
2089,Male,0.0,No,4.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,308.1,No,France,698.0,White,125962.02,86.05,2038-OEQZH,No,Electronic check,86.05
2090,Female,0.0,No,14.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,765.45,No,France,764.0,Fiorentini,186105.99,50.45,8967-SZQAS,No,Electronic check,50.45
2091,Female,0.0,Yes,63.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,6873.75,Yes,Spain,653.0,Walker,96658.26,107.5,2886-KEFUM,No,Electronic check,107.5
2092,Male,1.0,Yes,,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,362.6,No,France,593.0,Guerra,71154.1,34.55,4881-JVQOD,Yes,Bank transfer (automatic),34.55
2093,Female,0.0,No,61.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,5321.25,No,Germany,575.0,Davis,168080.53,88.65,3654-ARMGP,No,Credit card (automatic),88.65
2094,Female,0.0,Yes,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,415.1,No,France,616.0,Outhwaite,183840.51,20.05,5876-QMYLD,Yes,Mailed check,20.05
2095,Female,0.0,Yes,33.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,1955.4,No,Spain,686.0,Lucciano,127569.8,58.45,5844-QVTAT,Yes,Mailed check,58.45
2096,Male,0.0,No,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,536.35,No,France,579.0,Septimus,60906.12,20.15,2120-SMPEX,No,Mailed check,20.15
2097,Male,0.0,Yes,70.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,5986.45,No,France,720.0,Gallagher,172557.77,88.0,4178-EGMON,No,Credit card (automatic),88.0
2098,Male,0.0,No,34.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,3899.05,No,Spain,555.0,Chizuoke,54405.79,116.25,4374-YMUSQ,No,Credit card (automatic),116.25
2099,Male,0.0,No,20.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,1003.05,No,Spain,815.0,Christie,38941.44,50.0,6705-LNMDD,No,Mailed check,50.0
2100,Male,0.0,Yes,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,630.6,No,Germany,573.0,Maclean,70381.49,25.5,0071-NDAFP,Yes,Credit card (automatic),25.5
2101,Male,1.0,Yes,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,181.65,No,France,533.0,Odinakachukwu,156731.91,95.5,4929-XIHVW,No,Credit card (automatic),95.5
2102,Male,1.0,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,3645.6,No,Spain,661.0,Thompson,69586.27,84.85,5019-GQVCR,No,Electronic check,84.85
2103,Female,1.0,No,20.0,Yes,Yes,Fiber optic,Yes,,No,No,No,No,Month-to-month,Yes,1520.9,Yes,France,504.0,Bergamaschi,34595.58,79.15,4818-QIUFN,No,Electronic check,79.15
2104,Female,0.0,No,13.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,300.8,Yes,Spain,540.0,Matveyev,80698.54,23.9,6834-NXDCA,No,Electronic check,23.9
2105,Female,1.0,No,36.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,2659.45,No,France,593.0,Sabbatini,99136.49,74.9,4948-WBBKL,No,Bank transfer (automatic),74.9
2106,Female,1.0,No,56.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,4054.2,No,Spain,529.0,Nepean,108732.96,73.25,4849-PYRLQ,No,Bank transfer (automatic),73.25
2107,Female,0.0,Yes,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,754.65,Yes,France,681.0,Lacross,72127.83,85.35,5569-KGJHX,Yes,Bank transfer (automatic),85.35
2108,Female,0.0,Yes,58.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,6144.55,Yes,Spain,646.0,Robinson,183289.22,109.45,5089-IFSDP,No,Bank transfer (automatic),109.45
2109,Female,0.0,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,45.3,No,France,510.0,Hsia,48071.61,45.3,6582-OIVSP,No,Mailed check,45.3
2110,Male,0.0,No,42.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,4298.45,No,Germany,739.0,Liao,134420.75,99.0,0959-WHOKV,No,Electronic check,99.0
2111,Female,0.0,Yes,48.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,4692.95,No,Germany,759.0,Pisano,8693.8,97.05,6821-JPCDC,No,Electronic check,97.05
2112,Male,0.0,Yes,71.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,1539.75,No,Germany,701.0,Ibeamaka,189085.07,20.85,5324-KTGCG,No,Electronic check,20.85
2113,Female,0.0,Yes,18.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,309.25,No,Germany,527.0,Faulk,155846.69,19.35,2892-GESUL,Yes,Mailed check,19.35
2114,Female,1.0,No,3.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,202.9,No,Spain,450.0,Onyemauchechukwu,54227.06,75.05,3966-HRMZA,No,Mailed check,75.05
2115,Female,0.0,No,36.0,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,1893.5,No,France,813.0,Ponomaryova,26476.18,54.45,8570-KLJYJ,No,Mailed check,54.45
2116,Male,0.0,Yes,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,828.85,No,Germany,745.0,Woronoff,140197.42,20.7,4878-BUNFV,Yes,Mailed check,20.7
2117,Female,0.0,Yes,10.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,929.45,No,Spain,530.0,Wilson,80619.09,88.85,2657-VPXTA,Yes,Electronic check,88.85
2118,Male,1.0,Yes,67.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,4119.4,No,Germany,476.0,Davidson,197221.81,60.95,3740-RLMVT,No,Bank transfer (automatic),60.95
2119,Female,0.0,No,58.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,6332.75,No,France,649.0,Zikoranachidimma,247.36,107.75,2000-MPKCA,No,Electronic check,107.75
2120,Female,1.0,No,14.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,1096.25,Yes,France,754.0,Duncan,65219.85,74.3,2272-QAGFO,No,Electronic check,74.3
2121,Female,1.0,No,18.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,1359.45,No,Spain,594.0,Jimenez,58332.91,73.55,0650-BWOZN,No,Electronic check,73.55
2122,Male,1.0,No,37.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,3744.05,Yes,Germany,807.0,Lee,194257.11,101.1,6029-WTIPC,No,Electronic check,101.1
2123,Female,0.0,No,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,79.35,Yes,France,665.0,Buley,171413.66,79.35,5919-TMRGD,Yes,Electronic check,79.35
2124,Female,0.0,No,9.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,651.4,Yes,Germany,639.0,Dyer,199970.74,72.9,0260-ZDLGK,Yes,Mailed check,72.9
2125,Male,1.0,Yes,68.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,5589.3,No,France,621.0,Kambinachi,47578.45,80.35,6952-OMNWB,No,Credit card (automatic),80.35
2126,Male,0.0,Yes,56.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,4261.2,No,France,652.0,Otutodilinna,107876.2,75.85,1088-AUUZZ,Yes,Credit card (automatic),75.85
2127,Male,1.0,Yes,48.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,4370.75,No,France,732.0,Y?,154189.08,91.05,2573-GYRUU,No,Credit card (automatic),91.05
2128,Male,0.0,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.2,No,Spain,520.0,Maggard,34410.55,20.2,7310-EGVHZ,No,Bank transfer (automatic),20.2
2129,Female,0.0,No,31.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,689.35,No,France,720.0,Hsing,142956.48,20.9,8174-LNWMW,No,Credit card (automatic),20.9
2130,Female,0.0,Yes,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,5237.4,No,France,753.0,Trevisani,861.4,74.35,8468-FZTOE,Yes,Electronic check,74.35
2131,Female,0.0,No,11.0,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,422.6,No,France,761.0,Jordan,166698.18,40.4,0308-IVGOK,No,Credit card (automatic),40.4
2132,Female,0.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,6563.4,No,France,664.0,Buccho,60887.58,90.35,5684-FJVYR,Yes,Bank transfer (automatic),90.35
2133,Female,0.0,No,23.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,1249.25,No,France,702.0,Hyde,9633.01,54.4,9099-FTUHS,No,Electronic check,54.4
2134,Male,0.0,No,67.0,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,3097.2,No,France,762.0,Zetticci,173365.89,43.9,9610-WCESF,No,Electronic check,43.9
2135,Female,0.0,No,5.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,413.65,Yes,Spain,557.0,Lamb,86642.38,75.55,9250-WYPLL,No,Electronic check,75.55
2136,Female,0.0,No,12.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,947.3,Yes,Germany,697.0,Forbes,16445.79,78.1,3096-IZETN,No,Bank transfer (automatic),78.1
2137,Male,0.0,No,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,226.8,No,Spain,614.0,Iadanza,14666.35,19.5,7649-PHJVR,No,Mailed check,19.5
2138,Female,1.0,No,59.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,4590.35,No,Germany,677.0,Woods,4195.84,79.2,9845-PEEKO,No,Credit card (automatic),79.2
2139,Male,1.0,No,16.0,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,679.85,Yes,Germany,644.0,Cocci,182099.71,39.0,0786-VSSUD,No,Mailed check,39.0
2140,Female,0.0,Yes,35.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,708.8,No,France,809.0,Conti,109135.11,19.65,8008-OTEZX,Yes,Mailed check,19.65
2141,Male,0.0,No,1.0,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,33.6,No,France,486.0,Sal,31399.4,33.6,6917-IAYHD,Yes,Mailed check,33.6
2142,Female,0.0,No,46.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,2460.15,Yes,Germany,715.0,Kirsova,143096.49,54.35,7253-UVNDW,No,Credit card (automatic),54.35
2143,Female,0.0,Yes,51.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,3950.85,No,Spain,555.0,Kang,101667.0,78.65,4626-OZDTJ,No,Credit card (automatic),78.65
2144,Male,0.0,No,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,130.55,No,Germany,789.0,Sharp,60176.1,18.95,1386-ZIKUV,No,Mailed check,18.95
2145,Female,0.0,No,3.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,238.1,No,France,661.0,Onwumelu,84174.81,74.75,2800-VEQXM,No,Mailed check,74.75
2146,Male,0.0,Yes,22.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,1573.95,No,Germany,713.0,Chesnokova,197529.23,75.0,7611-YKYTC,Yes,Bank transfer (automatic),75.0
2147,Male,0.0,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.45,No,France,,Lo,61569.07,19.45,7617-EYGLW,No,Electronic check,19.45
2148,Female,0.0,Yes,52.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,4976.15,No,Germany,710.0,Real,193266.72,95.7,5473-KHBPS,Yes,Credit card (automatic),95.7
2149,Female,0.0,Yes,13.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,1215.6,Yes,France,850.0,Chiazagomekpere,65769.3,94.1,0023-XUOPT,No,Electronic check,94.1
2150,Male,,No,4.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,206.6,Yes,Germany,656.0,Darling,16998.72,50.4,9462-MJUAW,No,Mailed check,50.4
2151,Female,1.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,8046.85,No,Spain,710.0,Wood,136390.88,112.4,4829-ZLJTK,No,Electronic check,112.4
2152,Male,0.0,Yes,69.0,Yes,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,7665.8,No,Germany,684.0,Selwyn,127433.47,114.35,5375-XLDOF,Yes,Bank transfer (automatic),114.35
2153,Male,0.0,Yes,11.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,521.9,No,Germany,668.0,Cameron,134396.64,45.9,0356-ERHVT,No,Bank transfer (automatic),45.9
2154,Male,0.0,No,45.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,4740,Yes,France,583.0,Onwuamaeze,73107.6,100.85,7881-INRLC,No,Credit card (automatic),100.85
2155,Male,1.0,No,23.0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,768.45,No,France,672.0,Gorman,113171.61,34.65,1261-FWTTE,No,Bank transfer (automatic),34.65
2156,Male,0.0,Yes,5.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,259.4,No,Spain,494.0,Sung,6203.66,55.7,6921-OZMFH,Yes,Mailed check,55.7
2157,Male,0.0,No,14.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,767.55,No,Spain,763.0,McKenzie,16725.53,55.5,3873-NFTGI,No,Credit card (automatic),55.5
2158,Female,0.0,Yes,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,804.25,No,Spain,850.0,Ellis,33741.84,19.7,9938-PRCVK,Yes,Bank transfer (automatic),19.7
2159,Female,0.0,Yes,63.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,6215.35,Yes,France,542.0,Barwell,10350.74,100.55,7549-MYGPK,Yes,Electronic check,100.55
2160,Male,0.0,Yes,59.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,5861.75,No,France,509.0,Pendergrass,71244.59,99.5,6103-LIANB,Yes,Credit card (automatic),99.5
2161,Male,0.0,Yes,40.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,2448.5,No,Spain,577.0,Harris,135650.72,60.3,2292-XQWSV,Yes,Mailed check,60.3
2162,Male,1.0,No,8.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,606.55,Yes,Spain,744.0,O'Donnell,181694.44,74.5,3488-PGMQJ,No,Electronic check,74.5
2163,Female,0.0,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,40.9,No,France,461.0,Clayton,56767.67,20.0,4986-MXSFP,No,Mailed check,20.0
2164,Male,0.0,,34.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,1442.6,No,France,577.0,Yuan,10553.31,44.85,5337-IIWKZ,Yes,Electronic check,44.85
2165,Male,0.0,Yes,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,5727.15,No,France,535.0,Hsing,110299.78,80.4,7898-PDWQE,No,Credit card (automatic),80.4
2166,Male,0.0,No,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,208.25,No,Spain,550.0,Newland,70399.71,19.75,2428-ZMCTB,No,Credit card (automatic),19.75
2167,Male,0.0,Yes,17.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,1588.25,No,Germany,850.0,Trevisano,113177.95,96.65,2085-BOJKI,No,Bank transfer (automatic),96.65
2168,Male,0.0,Yes,46.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,1174.8,No,France,700.0,Mitchell,1299.75,24.9,5512-IDZEI,Yes,Electronic check,24.9
2169,Female,0.0,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,19.4,No,France,709.0,McElhone,138578.37,19.4,2220-IAHLS,No,Credit card (automatic),19.4
2170,Female,0.0,No,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,137.6,Yes,Spain,477.0,Ch'iu,26475.79,20.0,1009-IRMNA,No,Bank transfer (automatic),20.0
2171,Male,1.0,Yes,33.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,3270.25,No,France,553.0,Lambie,187915.7,100.6,1932-UEDCX,No,Bank transfer (automatic),100.6
2172,Female,0.0,No,1.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,54.75,Yes,Spain,689.0,Macleod,164768.82,54.75,4074-SJFFA,No,Mailed check,54.75
2173,Female,1.0,No,34.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,3190.25,No,Germany,,Alexander,97684.46,96.35,9508-ILZDG,No,Electronic check,96.35
2174,Female,0.0,Yes,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,1836.9,No,Spain,514.0,Yang,125010.24,24.75,4443-EMBNA,No,Bank transfer (automatic),24.75
2175,Male,1.0,No,47.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,2754,No,France,651.0,Osborne,67740.08,59.6,7025-WCBNE,No,Bank transfer (automatic),59.6
2176,Male,1.0,No,33.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,1803.7,No,France,701.0,Mills,145894.9,54.6,2519-ERQOJ,No,Electronic check,54.6
2177,Female,0.0,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,264.55,No,France,669.0,Burton,171575.54,20.05,3239-TPHPZ,No,Electronic check,20.05
2178,Male,0.0,No,31.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,2168.15,No,Spain,676.0,Lombardo,3173.31,71.05,5136-RGMZO,No,Electronic check,71.05
2179,Female,0.0,Yes,30.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,2538.05,No,France,764.0,Knupp,115676.38,86.45,8812-ZRHFP,Yes,Electronic check,86.45
2180,Female,0.0,No,34.0,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,2053.05,No,Germany,571.0,Sandover,26772.04,64.35,5203-XEHAX,No,Electronic check,64.35
2181,Male,0.0,No,21.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,467.15,No,Spain,811.0,Stewart,177519.39,24.7,3486-KHMLI,Yes,Mailed check,24.7
2182,Male,0.0,No,62.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,4237.5,No,Spain,642.0,Lawrence,150475.14,69.4,0885-HMGPY,No,Bank transfer (automatic),69.4
2183,Male,0.0,Yes,37.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,2203.1,No,France,811.0,Chikelu,182372.35,58.75,2027-DNKIV,Yes,Mailed check,58.75
2184,Male,0.0,No,24.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,1440.75,No,France,710.0,Doherty,94790.34,60.45,6620-HVDUJ,No,Bank transfer (automatic),60.45
2185,Female,0.0,No,13.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,1299.1,No,Germany,689.0,Teng,78591.15,104.15,5716-LIBJC,Yes,Credit card (automatic),104.15
2186,Male,0.0,No,13.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,268.45,No,Spain,838.0,Sozonov,145765.83,20.0,7277-KAMWT,No,Credit card (automatic),20.0
2187,Female,0.0,Yes,42.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,2727.8,No,Spain,743.0,McCardle,163736.09,66.4,9351-LZYGF,No,Credit card (automatic),66.4
2188,Female,0.0,No,1.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,60.15,Yes,France,756.0,Stewart,58974.0,60.15,5673-FSSMF,No,Electronic check,60.15
2189,Female,0.0,Yes,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,44.35,Yes,France,731.0,Marshall,152128.36,44.35,6142-VSJQO,Yes,Bank transfer (automatic),44.35
2190,Male,0.0,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,779.2,No,France,743.0,Hammonds,190911.02,19.35,5986-WWXDV,Yes,Bank transfer (automatic),19.35
2191,Female,0.0,Yes,34.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,2839.45,No,Germany,498.0,Meng,187247.56,84.75,5788-YPOEG,Yes,Mailed check,84.75
2192,Female,0.0,No,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,221.35,Yes,Germany,595.0,Ross-Watt,191448.96,20.1,6861-OKBCE,Yes,Credit card (automatic),20.1
2193,Male,0.0,Yes,72.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,6151.9,No,Spain,689.0,Tang,197804.0,85.95,9339-FIIJL,No,Bank transfer (automatic),85.95
2194,Female,0.0,No,60.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,6236.75,No,France,449.0,Knight,82176.48,104.95,3170-GWYKC,No,Bank transfer (automatic),104.95
2195,Male,0.0,No,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,164.6,No,France,569.0,Clements,154775.7,19.9,6202-JVYEU,No,Electronic check,19.9
2196,Female,0.0,No,4.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,399.25,No,France,850.0,,183983.82,100.85,4132-KALRO,No,Mailed check,100.85
2197,,0.0,No,4.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,305.55,Yes,France,514.0,Onyemauchechukwu,3756.65,72.2,8111-RKSPX,No,Bank transfer (automatic),72.2
2198,Female,0.0,Yes,26.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,1025.15,No,France,656.0,King,194691.95,38.85,9754-CLVZW,Yes,Credit card (automatic),38.85
2199,Male,0.0,No,1.0,Yes,No,DSL,No,No,No,No,,No,Month-to-month,No,44.4,Yes,Germany,686.0,Ch'eng,80553.87,44.4,6982-SSHFK,No,Mailed check,44.4
2200,Female,0.0,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,232.4,No,Germany,789.0,K'ung,74265.38,20.1,7777-UNYHB,Yes,Credit card (automatic),20.1
2201,Male,0.0,No,52.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,5426.85,Yes,France,593.0,Bowhay,76357.43,105.0,6769-DCQLI,No,Bank transfer (automatic),105.0
2202,Female,0.0,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,8529.5,No,Spain,557.0,Forbes,185094.48,117.15,6650-BWFRT,No,Credit card (automatic),117.15
